,close,date,high,low,open,volume
270,750.0,2018-10-23 14:30:00+05:30,750.0,740.0,740.0,75
271,750.0,2018-10-23 14:45:00+05:30,750.0,750.0,750.0,0
272,750.0,2018-10-23 15:00:00+05:30,750.0,750.0,750.0,0
273,750.0,2018-10-23 15:15:00+05:30,750.0,750.0,750.0,0
274,670.0,2018-10-24 10:30:00+05:30,670.0,670.0,670.0,75
275,670.0,2018-10-24 10:45:00+05:30,670.0,670.0,670.0,0
276,670.0,2018-10-24 11:00:00+05:30,670.0,670.0,670.0,0
277,670.0,2018-10-24 11:15:00+05:30,670.0,670.0,670.0,0
278,670.0,2018-10-24 11:30:00+05:30,670.0,670.0,670.0,0
279,670.0,2018-10-24 11:45:00+05:30,670.0,670.0,670.0,0
280,670.0,2018-10-24 12:00:00+05:30,670.0,670.0,670.0,0
281,670.0,2018-10-24 12:15:00+05:30,670.0,670.0,670.0,0
282,669.85,2018-10-24 12:30:00+05:30,670.0,669.85,670.0,75
283,669.85,2018-10-24 12:45:00+05:30,669.85,669.85,669.85,0
284,669.85,2018-10-24 13:00:00+05:30,669.85,669.85,669.85,0
285,669.85,2018-10-24 13:15:00+05:30,669.85,669.85,669.85,0
286,669.85,2018-10-24 13:30:00+05:30,669.85,669.85,669.85,0
287,669.85,2018-10-24 13:45:00+05:30,669.85,669.85,669.85,0
288,669.85,2018-10-24 14:00:00+05:30,669.85,669.85,669.85,0
289,669.85,2018-10-24 14:15:00+05:30,669.85,669.85,669.85,0
290,669.85,2018-10-24 14:30:00+05:30,669.85,669.85,669.85,0
291,669.85,2018-10-24 14:45:00+05:30,669.85,669.85,669.85,0
292,669.85,2018-10-24 15:00:00+05:30,669.85,669.85,669.85,0
293,669.85,2018-10-24 15:15:00+05:30,669.85,669.85,669.85,0
294,700.0,2018-10-25 10:15:00+05:30,700.0,700.0,700.0,150
295,700.0,2018-10-25 10:30:00+05:30,700.0,700.0,700.0,0
296,700.0,2018-10-25 10:45:00+05:30,700.0,700.0,700.0,0
297,700.0,2018-10-25 11:00:00+05:30,700.0,700.0,700.0,0
298,700.0,2018-10-25 11:15:00+05:30,700.0,700.0,700.0,0
299,700.0,2018-10-25 11:30:00+05:30,700.0,700.0,700.0,0
