,close,dateTime,Date,high,low,open,volume,,Close,high,low,open,volume,Straddle,,High,Low,open Call,Open Put,Straddle open,Close call,Close Put,Straddle Close,,TP,SL,1.05,0.95,
,193.9,2018-12-03 14:15:00+05:30,03-12-2018,207.4,191.55,202.75,163350,,199.05,200.95,183.5,187.15,128400,,392.95,FALSE,FALSE,215.7,171.55,387.25,,,#VALUE!,,406.6125,367.8875,0,0,0
,196.15,2018-12-03 14:30:00+05:30,03-12-2018,201.85,192.75,193.3,164925,,198.1,200.95,189,199.6,162375,,394.25,FALSE,FALSE,215.7,171.55,387.25,,,#VALUE!,,406.6125,367.8875,0,0,0
,202,2018-12-03 14:45:00+05:30,03-12-2018,202.75,193.55,195.55,136275,,190.45,201.4,190,198.8,122250,,392.45,FALSE,FALSE,215.7,171.55,387.25,,,#VALUE!,,406.6125,367.8875,0,0,0
,205.2,2018-12-03 15:00:00+05:30,03-12-2018,205.55,198.8,202.4,200250,,184.8,193.15,184.6,190.45,125025,,390,FALSE,FALSE,215.7,171.55,387.25,,,#VALUE!,,406.6125,367.8875,0,0,0
,207.55,2018-12-03 15:15:00+05:30,03-12-2018,207.95,204.65,205.2,313575,,180.55,185.8,180,184.8,303675,,388.1,FALSE,TRUE,215.7,171.55,387.25,207.55,180.55,388.1,,406.6125,367.8875,0,0,0
,189.7,2018-12-04 09:15:00+05:30,04-12-2018,202,188.5,194,354375,,202.5,211.9,184.35,211.9,383625,,392.2,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,0,0
,191,2018-12-04 09:30:00+05:30,04-12-2018,192.95,187,188.8,187575,,201.9,205.5,200.25,204.45,172200,,392.9,TRUE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,0,0
,190.75,2018-12-04 09:45:00+05:30,04-12-2018,194.4,188.8,190.5,104250,,200.95,203,196.9,201.9,104325,,391.7,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,0,0
,193,2018-12-04 10:00:00+05:30,04-12-2018,196,189.65,191.1,111000,,197.3,201.35,192.8,200.95,127050,,390.3,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,0,0
,191,2018-12-04 10:15:00+05:30,04-12-2018,194,188.15,193,97500,,199.5,202.6,195.8,197.3,65625,,390.5,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,0,0
,192.5,2018-12-04 10:30:00+05:30,04-12-2018,193.5,187.55,191,98175,,198.5,204,197.55,199.5,72900,,391,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,0,0
,187.85,2018-12-04 10:45:00+05:30,04-12-2018,193.95,185.4,192.5,134175,,203.65,206,197.15,198.5,98475,,391.5,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,0,0
,184.6,2018-12-04 11:00:00+05:30,04-12-2018,189.2,182.25,187.85,115350,,206.95,208.55,202,203.65,115500,,391.55,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,0,0
,184.2,2018-12-04 11:15:00+05:30,04-12-2018,185.85,181,184.6,84075,,206.2,210,204.05,206.95,103425,,390.4,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,0,0
,185.95,2018-12-04 11:30:00+05:30,04-12-2018,187,180.2,184.2,106050,,203.9,209.95,201.35,206.2,112425,,389.85,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,0,0
,187.3,2018-12-04 11:45:00+05:30,04-12-2018,189.5,185.5,186,92475,,201.15,203.85,199.05,203,98400,,388.45,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,0,0
,191.65,2018-12-04 12:00:00+05:30,04-12-2018,191.8,184.45,187.3,83550,,196.75,202.65,195.5,201.15,111150,,388.4,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,0,0
,190.75,2018-12-04 12:15:00+05:30,04-12-2018,195,189.2,191.45,115800,,196.75,197.95,191.05,196.75,177075,,387.5,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,0,0
,189.3,2018-12-04 12:30:00+05:30,04-12-2018,193.2,189.3,190.75,61275,,197.7,197.8,193.25,196.75,59325,,387,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,0,0
,191,2018-12-04 12:45:00+05:30,04-12-2018,194,189.3,189.3,64050,,196.5,197.9,192.9,197.4,61500,,387.5,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,0,0
,190.9,2018-12-04 13:00:00+05:30,04-12-2018,193,190.05,191.45,60225,,196.65,197.25,194.25,196.15,83325,,387.55,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,0,0
,185.75,2018-12-04 13:15:00+05:30,04-12-2018,190.9,183.25,190.9,140325,,202.1,204.05,196.65,196.65,126375,,387.85,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,0,0
,199.75,2018-12-04 13:30:00+05:30,04-12-2018,201.6,186.25,186.25,197100,,184.3,202.1,182.4,202.1,232200,,384.05,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,-1,-1,-1
,199.75,2018-12-04 13:45:00+05:30,04-12-2018,203.9,197.2,199.75,233400,,184.25,186,178.25,184.3,231900,,384,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,-1,-1,-2
,197.4,2018-12-04 14:00:00+05:30,04-12-2018,203.5,194.3,199.75,174900,,188.25,190.8,180.2,184.25,187350,,385.65,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,0,-1,-2
,195.7,2018-12-04 14:15:00+05:30,04-12-2018,201,195.3,197,126975,,187.45,189.85,182.4,187.85,122100,,383.15,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,-1,-1,-3
,192.25,2018-12-04 14:30:00+05:30,04-12-2018,198.9,189.1,195.6,168300,,186.25,190.4,184.05,187.5,117900,,378.5,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,-1,-1,-4
,193.85,2018-12-04 14:45:00+05:30,04-12-2018,196.9,190.75,192.25,121275,,186.5,188.35,182.3,186.25,135375,,380.35,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,-1,-1,-5
,192.35,2018-12-04 15:00:00+05:30,04-12-2018,196.25,188.9,193.85,148950,,184.75,191,184,186.4,142350,,377.1,FALSE,FALSE,194,211.9,405.9,,,#VALUE!,,426.195,385.605,-1,-1,-6
,187.55,2018-12-04 15:15:00+05:30,04-12-2018,192.1,185.45,192.1,316125,,186.25,188.4,182.35,185,259575,,373.8,FALSE,TRUE,194,211.9,405.9,187.55,186.25,373.8,,426.195,385.605,-1,-1,-7
,155,2018-12-05 09:15:00+05:30,05-12-2018,171,154.2,171,488700,,218.2,219,204.25,212,330225,,373.2,TRUE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,0,0,0
,152.5,2018-12-05 09:30:00+05:30,05-12-2018,155.75,146.35,155,309600,,216.5,225,215.4,218.5,196425,,369,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,0,0,0
,147.7,2018-12-05 09:45:00+05:30,05-12-2018,154.8,147.1,152.5,205425,,222.4,223,213.25,216.1,79350,,370.1,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,0,0,0
,151.15,2018-12-05 10:00:00+05:30,05-12-2018,152.5,147.5,147.7,140325,,217.65,222.7,216.05,222.4,56325,,368.8,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,0,0,0
,150.3,2018-12-05 10:15:00+05:30,05-12-2018,153.55,148.25,151.15,72075,,218.45,221,214,217.65,51000,,368.75,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,0,0,0
,147.8,2018-12-05 10:30:00+05:30,05-12-2018,150.4,146,150.3,108300,,222,224.05,217.85,218.45,65550,,369.8,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,0,0,0
,148.15,2018-12-05 10:45:00+05:30,05-12-2018,150,146.25,147.95,64500,,220,223.85,217.35,222,60675,,368.15,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,0,0,0
,147.05,2018-12-05 11:00:00+05:30,05-12-2018,148.45,143.5,148.15,130500,,220.85,226.5,219.15,220,84675,,367.9,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,0,0,0
,148.25,2018-12-05 11:15:00+05:30,05-12-2018,148.65,145.05,147.1,121725,,220,223.7,219.5,220.85,83850,,368.25,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,0,0,0
,148.1,2018-12-05 11:30:00+05:30,05-12-2018,150,147,148.25,51525,,218.8,220.7,216.75,220,37200,,366.9,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,0,0,0
,149,2018-12-05 11:45:00+05:30,05-12-2018,149.45,145.5,148.1,63375,,219.1,224.1,217.2,218.8,29625,,368.1,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,0,0,0
,150.2,2018-12-05 12:00:00+05:30,05-12-2018,150.65,147.25,149,63750,,216.05,220.5,215,219.1,46350,,366.25,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,0,0,0
,151.9,2018-12-05 12:15:00+05:30,05-12-2018,154.6,149.65,150.2,139125,,211.35,217,207.45,216.05,69225,,363.25,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,-1,-1,-1
,150.05,2018-12-05 12:30:00+05:30,05-12-2018,154.35,150.05,151.9,74175,,213.65,213.75,208.2,211.35,55500,,363.7,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,-1,-1,-2
,150.3,2018-12-05 12:45:00+05:30,05-12-2018,152.5,147.65,149.75,65175,,214,216.5,211.75,213.65,50250,,364.3,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,0,-1,-2
,150,2018-12-05 13:00:00+05:30,05-12-2018,152,147,150.3,74400,,212.7,216.55,210,214,47400,,362.7,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,-1,-1,-3
,149.1,2018-12-05 13:15:00+05:30,05-12-2018,150.15,145.5,150,69900,,214,219,212.55,212.7,44100,,363.1,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,-1,-1,-4
,147.2,2018-12-05 13:30:00+05:30,05-12-2018,149.5,145.85,149.1,63525,,216.6,218.85,214,214,33225,,363.8,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,-1,-1,-5
,142,2018-12-05 13:45:00+05:30,05-12-2018,148.75,140.2,147.2,143700,,222.75,224.8,215,216.6,86250,,364.75,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,0,-1,-5
,142.9,2018-12-05 14:00:00+05:30,05-12-2018,149.45,141.4,142,98100,,218.8,223.65,211.95,223.45,74925,,361.7,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,-1,-1,-6
,144.5,2018-12-05 14:15:00+05:30,05-12-2018,147.25,141.3,143.9,82650,,217.25,222,213.75,218.8,50100,,361.75,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,-1,-1,-7
,141.05,2018-12-05 14:30:00+05:30,05-12-2018,151.8,133.25,144.8,408750,,221,231.5,207,217.25,191025,,362.05,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,-1,-1,-8
,134.25,2018-12-05 14:45:00+05:30,05-12-2018,141.75,127.5,141.25,387900,,229.05,238,219.65,221,205800,,363.3,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,-1,-1,-9
,143.5,2018-12-05 15:00:00+05:30,05-12-2018,145.5,132.55,134.25,351000,,215.25,231,213,229.05,120750,,358.75,FALSE,FALSE,171,212,383,,,#VALUE!,,402.15,363.85,-1,-1,-10
,146.6,2018-12-05 15:15:00+05:30,05-12-2018,147.55,141.75,143.55,380700,,209.9,217,205.3,215.15,179250,,356.5,FALSE,TRUE,171,212,383,146.6,209.9,356.5,,402.15,363.85,-1,-1,-11
,101.65,2018-12-06 09:15:00+05:30,06-12-2018,110,98,102.9,744000,,274.05,279.55,245,245.65,199275,,375.7,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,0
,99.45,2018-12-06 09:30:00+05:30,06-12-2018,102.7,97.8,101.45,338025,,285.9,288.45,274.75,274.95,159300,,385.35,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,1
,96.45,2018-12-06 09:45:00+05:30,06-12-2018,100.75,95.6,99.45,427050,,292.65,299.55,283.8,285.9,117375,,389.1,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,2
,94.9,2018-12-06 10:00:00+05:30,06-12-2018,97.35,93.2,96.65,318525,,296.1,300,289.85,292.65,92775,,391,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,3
,94.55,2018-12-06 10:15:00+05:30,06-12-2018,97.15,91.9,94.55,232725,,292.85,299.8,287.55,296.1,35250,,387.4,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,4
,94.5,2018-12-06 10:30:00+05:30,06-12-2018,96.2,92.2,94.55,167100,,295.45,298.75,291.6,292.85,56625,,389.95,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,5
,89.65,2018-12-06 10:45:00+05:30,06-12-2018,96.15,86.85,94.5,329250,,309,315,291.15,295.45,119100,,398.65,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,6
,90.55,2018-12-06 11:00:00+05:30,06-12-2018,91.45,88.3,89.65,136425,,305.8,311.15,303,309,41775,,396.35,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,7
,92.5,2018-12-06 11:15:00+05:30,06-12-2018,92.85,89.85,90.55,111525,,299.65,307.15,298.65,305.8,35175,,392.15,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,8
,90.2,2018-12-06 11:30:00+05:30,06-12-2018,94.3,88.7,92.5,159900,,299.4,305.1,292.55,299.65,30300,,389.6,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,9
,88.85,2018-12-06 11:45:00+05:30,06-12-2018,91.45,88.25,90.2,142950,,304.25,304.4,295.25,299.4,23100,,393.1,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,10
,88,2018-12-06 12:00:00+05:30,06-12-2018,90.6,87.15,88.5,96750,,305.05,308.6,297.05,304.25,38550,,393.05,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,11
,89.25,2018-12-06 12:15:00+05:30,06-12-2018,89.45,85.95,88.15,127275,,302.15,310.45,302,305.05,17100,,391.4,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,12
,90,2018-12-06 12:30:00+05:30,06-12-2018,91.8,88.4,89.25,110025,,297.3,302.15,294.05,302.15,39975,,387.3,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,13
,94.35,2018-12-06 12:45:00+05:30,06-12-2018,96.25,90,90,277650,,282.45,297.3,277.05,297.3,91350,,376.8,FALSE,FALSE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,14
,95.9,2018-12-06 13:00:00+05:30,06-12-2018,98.75,93.65,95,253350,,279.1,282.85,270,282.65,86475,,375,FALSE,TRUE,102.9,245.65,348.55,,,#VALUE!,,365.9775,331.1225,1,1,15
